Filename,depth,height,width,species,volume,mito_volume,mito_cell_ratio,chlor_volume,chlor_cell_ratio
processed_Cr_TAP_2x-PK_mito_chloro_001_C3_BGSub.segmentation.tiff,9.1,2.4607137,7.444045847,cr,87.27907624,11.715770923328378,0.134233443,35.90069889,0.411332251
processed_Cr_TAP_2x-PK_mito_chloro_002_C3_BGSub.segmentation.tiff,9.1,2.4607137,7.444045847,cr,87.27907624,11.715770923328378,0.134233443,35.90069889,0.411332251
processed_Cr_TAP_2x-PK_mito_chloro_003_C3_BGSub.segmentation.tiff,9.1,8.821426471,8.867855031,cr,372.7326336,62.86365884043102,0.168656171,20.3054026,0.054477126
processed_Cr_TAP_2x-PK_mito_chloro_004_C3_BGSub.segmentation.tiff,3.1,1.578571053,0.572618911,cr,1.467202768,0.7384645009579057,0.50331455,24.93299691,16.99355908
processed_Cr_TAP_2x-PK_mito_chloro_005_C3_BGSub.segmentation.tiff,2.2,0.974999768,1.454761558,cr,1.633870501,1.1347855990816236,0.694538275,17.59500891,10.76891277
processed_Cr_TAP_2x-PK_mito_chloro_006_C3_BGSub.segmentation.tiff,5.9,9.11547402,11.03452118,cr,310.7301425,61.17993486896181,0.196890892,92.70929372,0.298359512
processed_Cr_TAP_2x-PK_mito_chloro_007_C3_BGSub.segmentation.tiff,7.1,9.177378767,10.21428328,cr,348.4845476,54.43744644134896,0.156211938,64.63269711,0.1854679
processed_Cr_TAP_2x-PK_mito_chloro_008_C3_BGSub.segmentation.tiff,8.3,7.614283901,8.542855109,cr,282.6889423,47.90618396190516,0.16946607,47.45489478,0.167869653
processed_Cr_TAP_2x-PK_mito_chloro_009_C3_BGSub.segmentation.tiff,8.7,9.811902426,11.80833052,cr,527.7881029,93.06147269181048,0.176323551,82.46961351,0.156255158
processed_Cr_TAP_2x-PK_mito_chloro_010_C3_BGSub.segmentation.tiff,8.6,10.69404507,9.130950207,cr,439.698575,59.28033840958608,0.134820401,84.35723435,0.191852417
processed_Cr_TAP_2x-PK_mito_chloro_011_C3_BGSub.segmentation.tiff,7.4,8.744045537,9.827378613,cr,332.9510899,38.17707223994077,0.114662704,102.0963578,0.306640708
processed_Cr_TAP_2x-PK_mito_chloro_012_C3_BGSub.segmentation.tiff,7.4,8.991664526,9.285712075,cr,323.5084661,53.114020909420155,0.164181239,73.28726059,0.226538926
processed_Cr_TAP_2x-PK_mito_chloro_013_C3_BGSub.segmentation.tiff,5.8,6.298808024,8.279759933,cr,158.3808731,24.928398276725037,0.157395257,85.19622219,0.537919892
processed_Cr_TAP_2x-PK_mito_chloro_014_C3_BGSub.segmentation.tiff,8,9.966664294,7.47499822,cr,312.0682123,60.08002227,0.192522083,32.23362099,0.103290306
processed_Cr_TAP_2x-PK_mito_chloro_015_C3_BGSub.segmentation.tiff,6.9,10.78690219,8.945235965,cr,348.6071217,50.68548535951658,0.145394291,48.80346911,0.139995617
processed_Cr_TAP_2x-PK_mito_chloro_016_C3_BGSub.segmentation.tiff,8.7,10.64761651,9.11547402,cr,442.1295412,64.26892574495237,0.145362207,85.24941788,0.192815476
processed_Cr_TAP_2x-PK_mito_chloro_017_C3_BGSub.segmentation.tiff,7,8.217855186,10.60118795,cr,319.3079124,60.13199645,0.188319782,78.4099988,0.245562342
processed_Cr_TAP_2x-PK_mito_chloro_018_C3_BGSub.segmentation.tiff,5.2,9.98214048,7.505950594,cr,204.0005531,26.92576368047383,0.13198868,32.11237983,0.1574132
processed_Cr_TAP_2x-PK_mito_chloro_019_C3_BGSub.segmentation.tiff,6.8,7.057141177,9.595235811,cr,241.0971035,26.659449890056372,0.110575571,30.67228783,0.127219645
processed_Cr_TAP_2x-PK_mito_chloro_020_C3_BGSub.segmentation.tiff,9.1,9.45595013,9.610711997,cr,433.0128163,72.64450523,0.167765254,58.44832038,0.134980578
processed_Cr_TAP_2x-PK_mito_chloro_021_C3_BGSub.segmentation.tiff,8.7,7.536902967,8.72856935,cr,299.6773128,62.27582366,0.207809604,54.51636576,0.181916893
processed_Cr_TAP_2x-PK_mito_chloro_022_C3_BGSub.segmentation.tiff,6.7,8.264283747,10.98809262,cr,318.5671252,44.22732205161286,0.138832034,67.51417448,0.211930765
processed_Cr_TAP_2x-PK_mito_chloro_023_C3_BGSub.segmentation.tiff,2.2,0.990475955,1.29999969,cr,1.483229959,2.5047962845639864,1.688744399,27.01864657,18.21608741
processed_Cr_TAP_2x-PK_mito_chloro_024_C3_BGSub.segmentation.tiff,3.8,10.94166406,8.713093164,cr,189.6871683,25.786786615134172,0.135943759,51.3607665,0.270765635
processed_Cr_TAP_2x-PK_mito_chloro_025_C3_BGSub.segmentation.tiff,6,9.192854954,10.50833083,cr,303.4827548,31.626864333010662,0.104213053,62.57336986,0.206184269
processed_Cr_TAP_2x-PK_mito_chloro_026_C3_BGSub.segmentation.tiff,6.8,8.372617054,9.301188262,cr,277.2727551,31.971690274249994,0.115307724,81.11521903,0.292546662
processed_Cr_TAP_2x-PK_mito_chloro_027_C3_BGSub.segmentation.tiff,7.5,8.960712152,11.45237823,cr,402.9935498,67.49673798340895,0.167488383,120.3922278,0.298744801
processed_Cr_TAP_2x-PK_mito_chloro_028_C3_BGSub.segmentation.tiff,2.1,0.789285526,0.974999768,cr,0.846167943,0.6738680181126971,0.796376208,45.70202359,54.01058261
processed_Cr_TAP_2x-PK_mito_chloro_029_C3_BGSub.segmentation.tiff,5.6,6.902379309,9.54880725,cr,193.2567171,24.118918361738196,0.124802484,48.15736057,0.249188547
processed_Cr_TAP_2x-PK_mito_chloro_030_C3_BGSub.segmentation.tiff,4.8,4.441665609,8.759521724,cr,97.78362051,23.420260814613712,0.239511083,31.23578856,0.31943784
processed_Cr_TAP_2x-PK_mito_chloro_031_C3_BGSub.segmentation.tiff,6.4,9.873807173,10.70952126,cr,354.3507001,58.09456062957103,0.16394651,72.91611225,0.205773863
processed_Cr_TAP_2x-PK_mito_chloro_032_C3_BGSub.segmentation.tiff,7.2,11.3595211,7.830950516,cr,335.3556449,63.99295960652356,0.190821179,33.98768974,0.101348196
processed_Cr_TAP_2x-PK_mito_chloro_033_C3_BGSub.segmentation.tiff,8.2,11.15833068,8.24880756,cr,395.1872044,31.92110526432449,0.080774643,57.86793404,0.1464317
processed_Cr_TAP_2x-PK_mito_chloro_034_C3_BGSub.segmentation.tiff,7.7,10.12142616,7.103569737,cr,289.8729611,36.843587188992686,0.127102532,41.16364763,0.14200582
processed_Cr_TAP_2x-PK_mito_chloro_035_C3_BGSub.segmentation.tiff,8.7,8.496426548,10.61666414,cr,410.9057899,69.34754577554119,0.168767507,82.4298305,0.200605181
processed_Cr_TAP_2x-PK_mito_chloro_036_C3_BGSub.segmentation.tiff,7.2,7.119045924,9.301188262,cr,249.6268797,33.52634103620759,0.134305813,27.05184299,0.108369111
processed_Cr_TAP_2x-PK_mito_chloro_037_C3_BGSub.segmentation.tiff,5,3.544046775,2.723808875,cr,25.27229617,5.543513516693931,0.219351399,57.2169155,2.264017291
processed_Cs_100x-oil-1percent-TAP__C3_BGSub.segmentation.tiff,8.1,7.800004179,7.080360936,cs,234.2253378,77.83697816714816,0.332316644,83.27898878,0.355550726
processed_Cs_100x-oil-1percent-TAP_001_C3_BGSub.segmentation.tiff,4,6.383931991,8.28750444,cs,110.8078784,11.042943910804082,0.099658473,139.7679999,1.261354355
processed_Cs_100x-oil-1percent-TAP_002_C3_BGSub.segmentation.tiff,8.1,10.42321987,8.867861893,cs,392.016603,131.04606004931244,0.334287015,197.0184279,0.502576744
processed_Cs_100x-oil-1percent-TAP_003_C3_BGSub.segmentation.tiff,7.7,9.146433471,8.426790229,cs,310.7443996,88.98980452986707,0.286376214,165.525061,0.532672709
processed_Cs_100x-oil-1percent-TAP_004_C3_BGSub.segmentation.tiff,7.9,7.010718041,9.726790925,cs,282.0705825,51.45565111318285,0.182421189,130.5165872,0.462708965
processed_Cs_100x-oil-1percent-TAP_005_C3_BGSub.segmentation.tiff,8.1,7.567861197,8.055361458,cs,258.5483866,74.61099320563457,0.288576518,102.9960179,0.39836264
processed_Cs_100x-oil-1percent-TAP_006_C3_BGSub.segmentation.tiff,7.7,6.569646377,8.867861893,cs,234.8822843,66.14492482362496,0.281608828,113.9287021,0.485045956
processed_Cs_100x-oil-1percent-TAP_007_C3_BGSub.segmentation.tiff,6.1,5.641074451,7.962504266,cs,143.4630194,39.310864822854086,0.274013924,86.00390114,0.599484812
processed_Cs_100x-oil-1percent-TAP_008_C3_BGSub.segmentation.tiff,7.9,8.566076018,8.821433297,cs,312.5696398,56.983077953791664,0.182305223,121.5774153,0.38896105
processed_Cs_100x-oil-1percent-TAP_009_C3_BGSub.segmentation.tiff,8.1,8.194647247,9.192862068,cs,319.4954285,97.84065010985213,0.306234898,137.7638172,0.431191826
processed_Cs_100x-oil-1percent-TAP_010_C3_BGSub.segmentation.tiff,8.1,7.335718216,9.053576279,cs,281.6737961,64.13535315520691,0.227693715,114.2744088,0.405697691
processed_Cs_100x-oil-1percent-TAP_011_C3_BGSub.segmentation.tiff,7.8,7.614289793,8.241075843,cs,256.2751743,40.48917763,0.157991026,104.448471,0.40756375
processed_Cs_100x-oil-1percent-TAP_012_C3_BGSub.segmentation.tiff,6.6,7.846432775,9.308933558,cs,252.4147599,35.069208173631345,0.138934855,137.880921,0.546247458
processed_Cs_100x-oil-1percent-TAP_013_C3_BGSub.segmentation.tiff,6.9,8.194647247,9.308933558,cs,275.599171,63.95918555574168,0.232073215,185.6462678,0.673609674
processed_Cs_100x-oil-1percent-TAP_014_C3_BGSub.segmentation.tiff,7,6.639289271,7.591075495,cs,184.7232513,68.29127023552505,0.369695042,69.51743768,0.376332904
processed_Cs_100x-oil-1percent-TAP_015_C3_BGSub.segmentation.tiff,8,6.500003482,9.123219173,cs,248.3992653,83.00937529063339,0.334177217,97.8485181,0.393916294
processed_Cs_100x-oil-1percent-TAP_016_C3_BGSub.segmentation.tiff,7.6,8.65893321,6.453574886,cs,222.3703903,64.99495834917141,0.292282431,90.4362219,0.406691834
processed_Cs_100x-oil-1percent-TAP_017_C3_BGSub.segmentation.tiff,8.1,9.030361981,7.753575582,cs,296.9551252,96.96444668381811,0.326528955,125.9287389,0.424066562
processed_Cs_100x-oil-1percent-TAP_018_C3_BGSub.segmentation.tiff,8.1,9.471433645,7.77678988,cs,312.3918731,88.30113957007319,0.282661449,129.92638,0.415908323
processed_Cs_100x-oil-1percent-TAP_019_C3_BGSub.segmentation.tiff,8.1,9.123219173,9.192862068,cs,355.6988765,108.00636667770881,0.30364551,160.4018118,0.450948323
processed_Cs_100x-oil-1percent-TAP_020_C3_BGSub.segmentation.tiff,7.9,9.28571926,10.0750054,cs,386.9782448,68.96969602618513,0.178226288,175.0214592,0.452277257
processed_Cs_100x-oil-1percent-TAP_021_C3_BGSub.segmentation.tiff,7.7,7.266075321,6.383931991,cs,187.0154535,61.44002660664353,0.328529143,76.49171301,0.409012793
processed_Cs_100x-oil-1percent-TAP_022_C3_BGSub.segmentation.tiff,8.1,8.519647421,9.076790577,cs,327.9726121,93.02500719513407,0.28363651,150.1356975,0.457769009
processed_Cs_TAP_1x-PK_mito_chloro_001_C3_BGSub.segmentation.tiff,5.8,7.753569582,9.177378767,cs,216.0961158,25.197514361726434,0.116603273,34.05583101,0.157595757
processed_Cs_TAP_1x-PK_mito_chloro_002_C3_BGSub.segmentation.tiff,5.8,7.753569582,9.177378767,cs,216.0961158,25.197514361726434,0.116603273,34.05583101,0.157595757
processed_Cs_TAP_1x-PK_mito_chloro_003_C3_BGSub.segmentation.tiff,1.9,0.897618834,1.284523504,cs,1.147060263,0.8917284585873051,0.777403322,27.67735346,24.12894453
processed_Cs_TAP_1x-PK_mito_chloro_004_C3_BGSub.segmentation.tiff,8,7.47499822,9.734521492,cs,304.7995428,65.95377542450231,0.216384102,61.28024264,0.201050966
processed_Cs_TAP_1x-PK_mito_chloro_005_C3_BGSub.segmentation.tiff,7.5,7.954760011,8.836902658,cs,276.0495469,53.42442892,0.193532029,65.47587642,0.237188857
processed_Cs_TAP_1x-PK_mito_chloro_006_C3_BGSub.segmentation.tiff,9.1,9.610711997,8.558331296,cs,391.90849,66.85319222976864,0.170583679,39.4642835,0.1006977
processed_Cs_TAP_1x-PK_mito_chloro_007_C3_BGSub.segmentation.tiff,7.9,8.945235965,8.836902658,cs,326.9772869,64.87168254409309,0.198398131,46.37126902,0.141818013
processed_Cs_TAP_1x-PK_mito_chloro_008_C3_BGSub.segmentation.tiff,6.7,9.053569273,7.289283979,cs,231.5144613,24.37481336459997,0.105284194,26.44712219,0.114235292
processed_Cs_TAP_1x-PK_mito_chloro_009_C3_BGSub.segmentation.tiff,3.5,5.540474871,4.735713158,cs,48.08382916,9.531082904699213,0.198218051,42.86068849,0.891374278
processed_Cs_TAP_1x-PK_mito_chloro_010_C3_BGSub.segmentation.tiff,8.2,9.98214048,9.177378767,cs,393.3279498,39.08817724825806,0.099378082,63.94932045,0.162585243
processed_Cs_TAP_1x-PK_mito_chloro_011_C3_BGSub.segmentation.tiff,9.1,9.316664448,11.74642577,cs,521.4422382,130.0864426,0.24947431,111.1515536,0.213161776